No.tree;Diameter (m);diameter (cm);Crown area (CA);X;Y;Biomass (B);B/CA
1;8,1;810,0;51,5;269810;3682607;754,3;14,6
2;7,4;741,0;43,1;269885;3682608;565,9;13,1
3;6,2;615,0;29,7;269816;3682611;310,1;10,4
4;7,0;697,0;38,1;269970;3682613;464,4;12,2
6;5,8;582,5;26,6;269954;3682625;260,2;9,8
7;6,2;617,5;29,9;269976;3682630;314,2;10,5
9;5,4;544,5;23,3;269968;3682650;209,3;9,0
10;7,4;744,5;43,5;269801;3682649;574,6;13,2
11;5,7;565,5;25,1;269830;3682646;236,5;9,4
12;7,5;747,0;43,8;269850;3682661;580,8;13,3
13;6,5;648,5;33,0;269855;3682643;368,0;11,1
14;4,0;402,0;12,7;269870;3682650;78,6;6,2
16;3,0;299,5;7,0;269840;3682775;30,4;4,3
18;5,6;561,0;24,7;269805;3682759;230,5;9,3
19;6,1;606,5;28,9;269819;3682769;296,5;10,3
20;6,8;680,5;36,4;269822;3682787;429,9;11,8
21;6,6;664,0;34,6;270000;3682654;397,1;11,5
22;8,3;833,0;54,5;269923;3682660;825,7;15,2
23;6,6;663,5;34,6;269946;3682662;396,2;11,5
24;5,1;507,5;20,2;269975;3682664;166,8;8,2
25;6,4;639,0;32,1;269951;3682670;350,9;10,9
26;3,3;329,0;8,5;269930;3682671;41,2;4,8
27;3,0;304,5;7,3;269999;3682672;32,1;4,4
28;7,4;744,5;43,5;269957;3682673;574,6;13,2
29;5,7;565,5;25,1;269933;3682679;236,5;9,4
30;7,5;747,0;43,8;269983;3682682;580,8;13,3
31;6,5;648,5;33,0;269951;3682683;368,0;11,1
32;4,0;402,0;12,7;269967;3682683;78,6;6,2
34;3,0;299,5;7,0;269823;3682693;30,4;4,3
35;9,4;942,5;69,7;269811;3682698;1230,1;17,6
36;6,4;640,0;32,2;269975;3682699;352,6;11,0
38;7,9;792,5;49,3;269967;3682702;703,0;14,3
41;5,1;510,5;20,5;269923;3682713;170,0;8,3
42;9,1;906,0;64,4;269937;3682714;1082,9;16,8
45;5,6;561,0;24,7;269952;3682726;230,5;9,3
46;6,1;606,5;28,9;269878;3682727;296,5;10,3
47;6,8;680,5;36,4;269966;3682727;429,9;11,8
48;7,3;725,0;41,3;269949;3682731;527,4;12,8
50;5,4;544,0;23,2;269883;3682731;208,7;9,0
51;4,7;474,0;17,6;269855;3682735;133,8;7,6
52;6,5;653,5;33,5;269929;3682736;377,2;11,3
53;6,7;674,5;35,7;269998;3682738;417,8;11,7
54;4,9;487,5;18,7;269946;3682742;146,5;7,9
55;8,1;807,5;51,2;269921;3682744;746,8;14,6
56;7,9;792,0;49,2;269975;3682745;701,6;14,2
57;3,0;295,0;6,8;269946;3682748;28,9;4,2
60;8,2;819,5;52,7;269878;3682755;783,3;14,9
61;6,4;639,5;32,1;269893;3682757;351,7;11,0
62;6,8;680,5;36,4;269863;3682758;429,9;11,8
63;5,9;591,0;27,4;269984;3682761;272,7;9,9
64;7,0;702,5;38,7;269925;3682762;476,4;12,3
65;6,3;634,5;31,6;269868;3682765;342,9;10,9
67;7,7;765,5;46,0;269975;3682768;628,6;13,7
70;8,6;856,5;57,6;269857;3682775;903,3;15,7
72;9,4;939,5;69,3;269931;3682776;1217,5;17,6
73;5,2;518,5;21,1;269974;3682777;178,7;8,5
74;8,7;872,5;59,8;269956;3682778;958,9;16,0
75;7,1;705,5;39,1;269924;3682781;483,0;12,4
76;9,1;907,5;64,6;269948;3682781;1088,7;16,8
77;6,8;680,5;36,4;269932;3682781;429,9;11,8
78;9,7;974,0;74,5;269880;3682783;1367,9;18,4
79;7,0;698,5;38,3;269889;3682787;467,7;12,2
82;6,4;636,0;31,8;269854;3682800;345,6;10,9
83;5,7;566,0;25,1;269960;3682800;237,2;9,4
;;;;;;;
